abacus 算盘 
cultivation 养殖 
culture 文化 
cunning 狡猾的 
cup 茶杯 
cupboard 碗□ 
curb 路边 
cure 治□ 
curiosity 好奇心 
curious 有好奇心的 
curl □曲 
curly □曲的 
currency 货币 
current 现时的 
curse 诅咒 
curtail 剥夺 
curtain 窗帘 
curve 弯曲 
cushion 垫子 
custody 保管 
custom 习惯;风俗 
customary 习惯性的 
customer 顾客 
cut 切 
cute 可爱的 
cycle □期;骑车 
cylinder 圆柱 
cynical 讥诮的 
cypress 丝柏 
dad 爸爸 
daffodil 喇叭水仙 
dagger 短剑 
dahlia 天竺牡丹 
daily 每日的 
dainty 高雅的 
dairy 酪农业 
daisy 雏菊 
dam 坝 
damage 损害 
dame 贵妇人 
damn 咒骂 
damp 潮湿 
dance 跳舞 
dancer 舞蹈家 
dancing 舞蹈 
danger 危险 
dangerous 危险的 
dangle 吊着 
dare 敢 
daring 胆大的 
dark 黑暗的 
darken 变暗;变黑 
darkly 黑暗地 
darkness 黑暗 
darling 心爱的人 
darn 缝补 
dart 镖;投射 
dash □撞 
data 资料;数据 
date 日期;约会 
daughter 女儿 
dawn 黎明 
day 日;白天 
daybreak 黎明;破晓 
daylight 白昼 
daytime 日间 
daze 晕眩 
dazzle 耀眼 
dead 死的 
deadly 致死的 
deaf 聋的 
deafen 使耳聋 
deal 交易;涉及 
dealer 交易者 
dealing 应对;交往 
dean 院长 
dear 亲爱的 
dearly 亲爱地 
death 死亡 
debate 辩论 
debt 债务 
debtor 债务人 
decade 十年 
decagram 十克 
decaliter 公斗 
decameter 公丈 
decay 衰败 
decease 死亡 
deceased 死亡的 
deceit 诡计 
deceive 欺骗 
December 十二月 
decency 正当行为 
decent 合适的 
decide 决定 
decided 确定的 
decigram 公□ 
decimeter 公寸 
decision 决定 
decisive 决定性的 
deck 甲板 
declaration 声明 
declare 宣□ 
decline 下降 
decompose 衰落 
decorate 装饰 
decorative 装饰的 
decrease 减少 
decree 法令 
dedicate 奉献 
deed 契据 
deem 以为 
deep 深的 
deepen 加深 
deeply 在深处 
deer 鹿 
defeat 打败 
defect 过失 
defective 不完美的 
defence 防□ 
defend 防守 
defendant 被告 
defender 防守者 
defense 防□ 
defensive 自卫的 
defer 延缓 
deferent 恭顺的 
defiance 挑战 
deficiency 缺乏 
deficient 缺乏的 
defile 弄□ 
define 下定义 
definite 肯定的 
definition 定义 
deformity 残废 
defy 不服 
degenerate 退步 
degradation 免职 
degrade 降级 
degree 度数;等级 
deity 神 
delay 延期 
delegate 代表 
delegation 代表团 
deliberate 谨慎的 
deliberation 熟思 
delicacy 精致 
delicate 精美的 
delicious 美味的 
delight 乐趣 
delightful 愉快的 
deliver 传送;接生 
deliverance 释放 
delivery 传送;分娩 
dell 幽谷 
delta 叁角洲 
deluge 洪水 
delusion 幻想 
demand 要求 
demeanor 态度 
democracy 民主政治 
democrat 民主主义者 
democratic 民主政治的 
demon 恶魔 
demonstrate 示□;示威 
demonstration 示□;示威 
den 兽穴 
denial 否认 
denomination 名称;派别 
denote 指示;表示 
denounce 公开指责 
dense 稠密的 
density 密度 
dental 牙齿的 
dentist 牙科医生 
deny 否认 
depart 离开 
department 部门;科系 
departure 启程 
depend 依靠 
dependence 依属 
dependent 依赖的 
depict 描述 
deplore 悲痛 
depose 免职 
deposit 存放 
depot 仓库 
depress 降低;贬值 
depression 不景气 
deprive 剥夺 
depth 深度 
deputy 副的 
derision 愚弄 
derive 获得;起源 
descend 下降 
descendant 後裔 
descent 降落;血统 
describe 描述;摹画 
description 叙述 
desert 沙漠 
deserve 应得 
design 设计;图案 
designate 指定 
desirability 可取之处 
desirable 合意的 
desire 期望 
desirous 渴望的 
desk 书桌 
desolate 荒凉的 
desolation 荒芜 
despair 失望 
despairing 失望的 
despatch 发送;解决 
desperate 非常的 
desperation 绝望 
despise 轻视 
despite 不管 
dessert 甜点 
destination 目的地 
destine 预定;□定 
destiny 命运 
destitute 缺乏 
destroy 破坏 
destruction 毁坏 
destructive 破坏的 
detach 分开 
detachment 分开 
detail 细节 
detain 拘留 
detect 侦查 
detective 侦探 
determination 决心 
determine 下决心 
determined 有决心的 
detest 憎恨 
devastate 毁坏 
develop 发展 
development 发展 
device 装置;设备 
devil 魔鬼 
devise 设计 
devote 奉献 
devoted 忠诚的 
devotion 热诚 
devour 吞食 
dew 露水 
dewy 带露的 
dexterity 灵活的 
diagram 图表 
dial 拨号 
dialect 方言 
dialogue 对话 
diameter 直径 
diamond 钻石 
diary 日记 
dice 骰子 
dictate 听写 
dictation 听写 
dictator 独裁者 
diction 用字 
dictionary 字典 
die 死 
diet 饮食疗养 
difference 差别 
difficult 困难的 
diffuse 扩散 
dig 挖 
digest 消化 
digestion 消化 
digestive 消化的 
dignify 使高贵 
dignity 尊严 
dilate 使膨胀 
dilemma 进退两难 
diligence 勤勉 
diligent 勤勉的 
dim 阴暗的 
dime 一角银币 
dimension 大小 
diminish 缩小 
diminutive 小型的 
dimple 酒窝 
dine 用膳 
dinner 晚餐 
dip 浸一下 
diplomacy 外交 
diplomatic 外交手腕的 
direct 指挥;直接 
direction 指示 
directly 直接地 
director 指挥;董事 
director 指挥者 
dirt □东西 
dirty □ 
disable 使无能 
disadvantage 不利 
disagree 不同意 
disagreeable 不愉快的 
disappear 失纵,消失 
disappoint 使失望 
disappointment 失望 
disapproval 不赞成 
disapprove 不赞成 
disarm 废除军备 
disarmament 裁军 
disaster 惨事 
disastrous 不幸的 
discard 抛弃 
discern 识别 
discharge 排出 
disciple 门徒 
discipline 规律 
disclose 揭发 
discomfort 不安 
discontent 不满 
discord 不调和 
discount 折扣 
discourage 阻止 
discover 发现 
discovery 新发现 
discreet 谨慎 
discretion 慎重 
discuss 商谈 
discussion 讨论 
disdain 轻蔑 
disease 病 
disfigure 变□ 
disgrace 耻辱 
disguise 伪装 
disgust 使厌烦 
dish 盘;碟 
dishonest 不诚实的 
dishonor 不名誉事物 
disk 圆盘 
dislike 嫌恶 
dismiss 解散 
dismount 下马 
disobey 不听命 
disorder 混乱 
dispatch 特派 
dispense 分配;配药 
disperse 驱散 
displace 换置 
display 陈列 
displease 使生气 
displeasure 不快 
disposal 处分 
dispose 配置 
disposition 意向 
dispute 争吵 
disregard 置之度外 
dissect 解剖 
dissension 意见不合 
dissolution 解除 
dissolve 溶解;取消 
distance 距离 
distant 远的 
distill 蒸馏 
distinct 不同的 
distinction 卓越 
distinctive 独特的 
distinctly 明显地 
distinguish 区别 
distort 弄歪 
distract 分散注意 
distress 苦恼 
distribute 分发 
distribution 分发 
district 地区 
distrust 不信用 
disturb 搅乱 
disturbance 骚动 
ditch 沟 
dive 潜水 
diverse 各色各样 
diversity 多样 
divert 使转向 
divide 分给,除 
dividend 红利 
divine 神圣的 
divinity 神性 
division 部门;除 
divorce 离婚 
dizzy 头晕的 
do 做 
dock 码头 
doctor 医师;博士 
doctrine 教义 
document 公文 
dog 狗 
doll 玩偶 
dollar 元 
dolly 洋娃娃 
domain 领域 
dome 圆屋顶 
domestic 内部的 
dominant 优势的 
dominate 支配 
dominion 主权 
donate 捐赠 
donation 捐款 
done 完成了 
donkey 驴子 
doom 不幸 
door 门 
doorway 门口 
dormitory 宿舍 
dose 一服 
dot 点 
double 双重的 
doubt 怀疑 
doubtful 可疑的 
doubtless 无疑地 
dough 生□□ 
doughnut 油炸圈饼 
dove 鸽 
down 向下 
downfall 没落 
downstairs 楼下 
downtown 闹区 
downward 向下的 
dozen 一打 
draft 草案 
drag 拉,拖 
dragonfly 蜻蜓 
drain 排水 
drainage 排水渠 
dramatic 戏剧性的 
drapery 帐帘 
drastic 激烈的 
draw 拉;签写 
drawer 抽屉 
drawing 图画 
dread 非常害怕 
dreadful 可怕的 
dream 梦 
dreary 厌倦的 
drench 使湿透 
dress 打扮 
dressing 调味汁 
dressmaker 女装裁缝师 
drift 漂游 
drill 训练 
drink 饮,喝 
drip 滴下 
drive 驾车 
driver 司机 
droop 垂下 
drop 水滴 
drought 乾旱 
drown 使溺死 
drowsy 想睡的 
drug 药品 
druggist 药商 
drum 鼓 
drunkard 酒鬼 
dry 乾 
duchess 公爵夫人 
duck 鸭 
due 会费 
duel 决□ 
duke 公爵 
dull 迟钝的 
duly 当然地 
dumb 哑的 
dump 抛弃 
duplicate 副本的 
durable 有耐久力的 
duration 持久 
during 在□期间 
dusk 黄昏 
dusky 昏暗的 
dust 灰尘 
dusty 满身尘埃的 
duty 责任 
dwarf 矮子 
dwell 居住 
dwelling 寓所 
dye 染料 
dying 垂死的 
dynamite 炸药 
dynamo 发电机 
dynasty 王朝 
each 每 
eager 切望的 
eagle 鹰 
ear 耳 
earl 伯爵 
early 早 
earn 赚得 
earnest 认真的 
earning 收入 
earth 地球;土壤 
earthquake 地震 
earthworm 蚯蚓 
ease 悠□ 
easily 容易地 
east 东;东方 
eastern 东方的 
eastward 向东的 
easy 容易的 
eat 吃 
eaves 屋□ 
ebb 退潮 
ebony 乌木 
eccentric 古怪的 
echo 回声 
eclipse 日蚀;月蚀 
economic 经济学的 
economical 节俭的 
economics 经济学 
economist 经济学家 
economy 经济制度 
ecstasy 狂喜 
eddy 漩涡 
edge 边缘 
edifice 大厦 
edit 编辑 
edition 版本 
editor 主编 
editorial 社论 
educate 培育 
education 教育 
educational 教育的 
eel 鳗鱼 
effect 效果 
effective 有效的 
efficiency 效率 
efficient 有效的 
effort 努力 
egg 蛋 
eight 八 
eighteen 十八 
eighteenth 第十八 
eighth 第八 
eightieth 第八十 
eighty 八十 
either 二者之一 
elaborate 精巧的 
elapse 逝去 
elastic □紧带 
elbow 手肘 
elder 前辈 
elderly 老年的 
eldest 最年长的 
elect 推选 
election 选举 
elector 有选举权者 
electric 电力的 
electrical 电的 
electricity 电 
electron 电子 
elegance 高雅;优美 
elegant 高雅的 
element 元素 
elementary 基本的 
elephant 象 
elevate 提高 
elevation 高度 
elevator 电梯 
eleven 十一 
eleventh 第十一 
elf 小精灵 
eliminate 淘汰;消去 
elk 麋鹿 
elm 榆树 
eloquence 口才 
eloquent 雄辩的 
else 别的 
elsewhere 别处 
embark 搭乘 
embarrass 使困窘 
embarrassment 困窘 
embassy 大使馆 
ember 馀烬 
emblem 象徵 
embody 使具体化 
embrace 拥抱 
embroider 刺绣 
embroidery 刺绣品 
emerald 翡翠 
emerge 出现 
emergency 紧急事件 
emigrant 移民 
eminence 知名人士 
eminent 闻名的 
emit 发出 
emotion 情绪 
emotional 情绪化的 
emperor 皇帝 
emphasis 强调 
emphasize 强调 
empire 帝国 
employee □员 
employer □主 
employment 职业 
empress 女皇 
empty 空的 
emulator 竞争者 
enable 使□能够 
enact 制定;扮演 
enamel 搪瓷;光漆 
encamp □营 
enchant 蛊惑 
enchantment 魔法 
encircle 环绕 
enclose 围绕;附寄 
enclosure 围墙;附件 
encounter 遭遇 
encourage 鼓励 
encyclopedia 百科全书 
end 终点 
endeavor 努力 
ending 结局 
endless 无穷的 
endow 捐助 
endurance 耐力 
endure 持久 
enemy 敌人 
energetic 有活力的 
energy 精力 
enforce 强制 
enforcement 强制 
engage 约定 
engagement 订婚 
engine 引擎 
engineer 工程师 
engineering 工程学 
England 英国 
English 英文 
English 英国人 
engrave □刻 
enhance 提高 
enjoy 享受 
enjoyment 乐趣 
enlarge 扩充 
enlighten 启发 
enlist 徵召 
enmity 敌意 
enormous 极大的 
enough 足够的 
enrage 激怒 
enrich 使□□富 
enroll 登记 
ensign 旗帜 
ensue 缘起 
entail 导致 
enter 进入 
enterprise 企业 
entertain 款待 
entertainment 娱乐 
enthusiasm 热心 
enthusiastic 热忱的 
entice 诱惑 
entire 全部的 
entirely 全部地 
entitle 有资格 
entrance 入口 
entreat 恳求 
entreaty 恳求 
entrust 托付 
entry 进口 
enumerate 列举 
envelope 信封 
envious 羡慕 
environment 环境 
envy 羡慕 
epic 史诗 
epidemic 流行病 
episcopal 主教的 
episode 插曲 
epistle 书信 
epitaph 墓□铭 
epoch 时代 
equal 相等 
equality 平等 
equally 相等地 
equation 方程式 
equator 赤道 
equip 装置 
equipment 装备 
equity 公平 
equivalent 相等的 
era 纪元 
eraser 橡皮搽 
ere 不久 
erect 直立的 
err 犯错 
errand 出差 
error 错误 
eruption 爆发 
escalator 自动楼梯 
escape 逃走 
escort 护送者 
especial 特别的 
esquire 男性尊称 
essay 论文 
essence 本质 
essential 要素 
essentially 本质上 
establish 设立;制定 
establishment 制定;设施 
estate 地产 
esteem 尊重;认为 
estimate 估计 
estimation 估计 
eternal 永远的 
eternity 永恒 
ether 以太 
ethics 伦理 
etiquette 礼仪;礼节 
etymology 语源 
Europe 欧洲 
European 欧洲的 
evade 规避 
evaporate 蒸发 
evaporation 蒸发 
eve 前夕 
even 平的 
evening 傍晚,黄昏 
evenly 平衡地 
event 事件 
eventual 最後的 
eventually 终於 
ever 曾经 
evergreen 常绿的 
everlasting 永久的 
evermore 经常地 
every 每,每一 
everybody 每个人 
everyday 每天的 
everyone 每个人 
everything 一切事物 
everywhere 到处 
evidence 证据 
evident 明显的 
evil 邪恶地 
evolution 进化 
evolve 放出热，光 
ewe 母羊 
exact 精密的 
exactly 刚好 
exaggerate □大 
exaggeration □张 
exalt 擢□ 
examination 检查;考试 
examine 检查 
example □例 
exasperate 使怒 
excavation 挖掘 
exceed 超过限度 
exceeding 过度的 
excel 胜过 
excellence 卓越 
excellent 优秀的 
except 除了之外 
exception 例外 
exceptional 异常的 
excess 过量 
excessive 过度的 
exchange 替换 
excite 激起 
excitement 兴奋 
exciting 使兴奋的 
exclaim 呼喊 
exclamation 叫喊 
exclude 排除 
exclusive 唯一的 
excursion 远足 
excuse 原谅 
execute 履行 
execution 实行 
executive 主管人员 
exempt 免除 
exercise 运动,训练 
exert 使运用 
exertion 尽力 
exhaust 用尽 
exhaustion 竭尽 
exhibit 发挥;陈列 
exhibition 展示 
exile 流放 
exist 存在 
existence 存在 
exit 出口 
expand 使膨胀 
expanse 宽阔 
expansion 膨胀 
expect 预期 
expectation 期望 
expedient 得当的 
expedition 远征 
expel 逐出 
expend 花费 
expenditure 开支 
expense 费用 
expensive 高价的 
experience 经验 
experienced 有经验的 
experiment 实验 
experimental 试验性的 
expert 专家 
expire 满期;绝气 
explain 说明 
explanation 说明 
explode 爆炸 
exploit □绩 
exploration 探险 
explore 探险 
explorer 探险者 
explosion 爆发 
explosive 爆发的 
export 输出;出口 
expose 曝露;露出 
exposition 展览会 
exposure 曝露 
express 表达 
expression 表情 
exquisite 绝妙的 
extend 伸出;延长 
extension 伸展;延期 
extensive 广博的 
extent 程度;限度 
exterior 外的 
external 外用的 
extinct 已灭的 
extinguish 熄灭 
extra 额外的 
extract 引出;抽出 
extraordinary 非常的 
extravagance 挥霍无度 
extravagant 挥霍无度的 
extreme 极端的 
extremely 极端地 
extremity 末端 
exultation 大喜 
eye 眼 
eyebrow 眉毛 
eyelid 眼皮 
fable 寓言 
fabric 纺织品 
fabulous 极好的 
face 脸 
facilitate 使容易 
facility 设备 
fact 事实 
faction 派系 
factor 要素;因子 
factory 工厂 
faculty 才能,教授 
fade 褪色 
fail 不及格 
failure 失败 
faint 模糊的 
fair 清澈的 
fairy 仙女 
fairyland 仙境 
faith 信心 
faithful 忠实的 
falcon 鹰 
fall 落下 
false 错误的 
falsehood 虚伪 
falter 摇晃 
fame 声誉 
familiar 熟悉的 
familiarity 熟悉 
family 家庭 
famine 饥荒 
famous 出名的 
fan 扇子 
fancy 花俏的 
fantastic 奇妙的 
far 远 
fare 运费 
farewell 送别 
farm 农场;牧场 
farmer 农人 
farmhouse 农舍 
farmyard 农家庭院 
faroff 遥远的 
farther 更远的 
farthest 最远的 
fascinate 迷住 
fascination 魅力 
fashion 流行;时尚 
fashionable 流行的 
fast 快速的 
fasten 绑住 
fat 肥胖 
fatal 不幸的 
fate 命运 
father 父亲 
fathom □ 
fatigue 疲劳 
fault 过失;缺点 
favor 偏爱 
favorable 嘉许的 
favorite 最喜爱的 
fawn 奉承 
fear 害怕 
fearful 可怕的 
fearless 不怕的 
feast 盛宴;节日 
feat 功绩 
feather 羽毛 
feature 特徵;特写 
February 二月 
federal 联邦的 
federation 联邦 
fee 费用 
feeble 衰弱的 
feebly 衰弱地 
feed 饲养 
feeder 饲养者 
feel 感觉到 
feeling 感觉;心情 
feign 假装 
fellow 同伴 
fellowship 友谊 
felt 感觉;毛毡 
female 雌性 
feminine 阴性的 
fence 篱笆 
fencing 剑□ 
ferment 发酵;酝酿 
fern 蕨类 
ferry 渡口 
fertile 肥沃的 
fertility 生殖力 
fertilize 施肥 
fertilizer 肥料 
fervor 热诚 
festival 节庆 
fetch 拿;取 
fetter 脚镣 
feud 世仇 
feudal 封建的 
fever 发烧 
feverish 发烧的 
few 少数的 
fickle 多变的 
fiction 虚构小说 
fiddle 小提琴 
fidelity 忠诚 
field 田野;战场 
fiend 恶魔 
fierce □猛的 
fiery 如火的 
fifteen 十五 
fifteenth 第十五 
fifth 第五 
fiftieth 第五十 
fifty 五十 
fig 无花果 
fight 争执;打仗 
fighter 战□者 
fighting 战事 
figure 外形;数字 
filament 丝状物 
file 档案 
fill 充满 
film 胶卷 
filter 过 
filthy 肮□的 
fin 鱼鳍 
final 最後的 
finally 最後地 
finance 财政 
financial 财政的 
find 找到;发现 
finding 发现物 
fine 精美的 
finger 手指 
finish 完成 
fir 枞树 
fire 火 
firefly 萤火□ 
fireman 消防队员 
fireplace 壁炉 
fireside 炉边 
firework 烟火 
firm 公司;坚固 
firmament 苍天 
firmly 坚固 
firmness 坚固性 
first 第一的 
first-class 第一流的 
fiscal 财政的 
fish 鱼 
fisher 鱼夫 
fisherman 鱼夫 
fist 拳头 
fit 合适 
fitness 适合 
five 五 
fix 安装;修理 
fixed 固定的 
fixture 装置物 
flag 旗帜 
flake 薄片 
flame 火焰 
flaming 燃烧的 
flank 腹部 
flannel 绒布 
flap 拍打 
flare 闪亮 
flash 闪光 
flask 长颈瓶 
flat 平坦的 
flatten 弄平;打倒 
flatter 奉承 
flatterer 奉承者 
flattery 媚词 
flavor 味道 
flaw 裂纹 
flax 亚麻 
flea 跳蚤 
flee 逃走 
fleece 羊毛 
fleet 舰队 
flesh 血肉 
flexible 有弹性的 
flicker 闪烁 
flight 航程 
fling 抛;投 
flirt 调情 
flit 掠过 
float 漂浮 
flock 群 
flood 洪水 
floor 地板 
flop 失败;掉落 
flora 植物群 
flounder 比目鱼 
flour □粉 
flourish 兴盛 
flow 流动 
flower 花 
flowery 如花的 
fluffy 蓬□的 
fluid 流体的 
flush 发红;淹没 
flute 长笛 
flutter 摆动 
fly 飞翔 
flying 飞行的 
foam 泡沫 
focus 焦点 
fodder 草料 
foe 敌人 
fog 雾 
foggy □糊 
foil 金属薄片 
fold 摺叠 
foliage 叶子 
folk 家人 
follow 跟从 
follower 信徒 
following 下列的 
folly 蠢事 
fond 喜爱的 
fondness 嗜好 
food 食物 
fool 呆子 
foolish 可笑的 
foot 脚 
football 橄榄球 
footing 总帐 
footstep 脚步 
for 为了 
forage 饲料 
forbear 容忍 
forbid 禁止 
forbidden 被禁止的 
force 力 
forcibly 强制地 
ford 涉过 
fore 前面的 
forecast 预测 
forefather 祖先 
forefinger 食指 
forehead 前额 
foreign 外国的 
foreigner 外国人 
foreman 工头 
foremost 最初的 
foresee 预知 
foresight 先见之明 
forest 森林 
foretell 预言 
forever 永远地 
forfeit 被没收 
forge 打□ 
forget 忘记 
forgive 原谅 
forgiveness 饶恕 
fork 叉 
forlorn 绝望的 
form 形状;表格 
formal 正式的 
formality 正式的手续 
formally 正式地 
formation 形成 
former 以前的 
formerly 从前 
formidable 可怕 
formula 公式 
formulate 用形式表示 
forsake 丢弃 
fort 堡垒 
forth 向前 
forthwith 立刻 
fortification □城 
fortify 加强 
fortitude 坚忍不拔 
fortnight 两星期 
fortress 城堡 
fortunate 幸运的 
fortune 命运 
forty 四十 
forum 公开讨论会 
forward 在前 
fossil 化石 
foster 养育 
foul 犯规的 
found 创立 
foundation 基础 
founder 创立者 
fountain 喷泉 
four 四 
fourteen 十四 
fourth 第四 
fowl 野禽 
fox 狐 
fraction 分数 
fracture 破裂 
fragile 易碎的 
fragment 碎片 
fragrance 芬香 
fragrant 芬香的 
frail 脆弱的 
frailty 脆弱 
frame 相架 
framework 骨架 
franc 法郎 
France 法国 
frank 率直的 
frankness 坦白 
frantic 狂暴的 
fraternity 兄弟会 
fraud 欺骗 
freak 怪诞的 
freckle 雀斑 
free 自由 
freedom 自由 
freely 随便地 
freeze 冻结 
freight 货物运输 
frequent 经常的 
fresh 新鲜的 
freshness 新鲜 
friction 摩擦 
Friday 星期五 
friend 朋友 
friendliness 亲切 
friendly 友好的 
friendship 友谊 
fright 惊骇 
frighten 使骇怕 
frightful 可怕的 
fringe 缘饰 
frog 青蛙 
from 从 
front 前面 
frontier 边境 
frost 霜 
frosty 霜白的 
frown 愁眉苦脸 
frozen 冻结的 
frugal 节约的 
fruit 水果 
fruitful 产量多的 
fruitless 不结果的 
frustrate 挫败 
fry 用油炸 
fuel 燃料 
fugitive 逃亡的 
fulfil 实践 
full 满 
fullness 充满 
fully 完全地 
fume 臭味 
fun 戏耍 
function 机能 
fund 资金 
fundamental 基本的 
funeral 葬礼 
fungus 菌类 
funnel 漏斗 
funny 有趣的 
fur 软毛 
furious 狂怒的 
furnace 熔矿炉 
furnish 供给 
furniture 家俱 
furrow 畦 
further 更远 
furthermore 而且 
furthest 最远的 
fury 激怒 
fuse 保险丝 
fusion 熔解 
fuss 大惊小怪 
futile 徒劳的 
future 未来 
gaiety 欢乐 
gain 得到 
gait 步伐 
gale 强风 
gall 胆汁 
gallant 英勇的 
gallery 画廊 
gallon 加□ 
gallop 疾驰 
gamble 赌博 
game □戏 
gang 一群 
gangster 匪徒集团 
gap 间隔 
garage 车库 
garden 花园 
gardener 园丁 
gardening 园艺 
garland 花环 
garment 衣装 
garter 袜带 
gas 瓦斯,汽油 
gaseous 气体的 
gasoline 汽油 
gasp 喘息 
gate 闸 
gateway 出入口 
gather 集合 
gathering 聚集 
gauge 标□尺寸 
gauze 纱布 
gay 快活的 
gaze 凝视 
gear 齿轮 
gem 宝石 
gender 性别 
general 将军 
general 通常的 
generate 产生 
generation 一代 
generosity 慷慨 
generous 雍容大度 
genial 和蔼的 
genius 天才 
gentle 文雅的 
gentleman 绅士 
gentleness 温和的品质 
gently 轻轻地 
gentry 名流 
genuine 纯正的 
geographical 地理的 
geography 地理 
geology 地质学 
geometry 几何学 
germ 细菌 
Germany 德国 
germinate 发芽 
gerund 动名词 
gesture 姿势 
get 得到 
ghastly 恐怖的 
ghost 鬼魂 
giant 巨人 
giddy 晕眩的 
gift 礼物;天赋 
gifted 天才的 
gigantic 庞大的 
giggle 格格笑 
gild 镀金 
gill 腮;峡谷 
gilt 镀金 
gin 杜松子酒 
ginger □ 
gingerbread □饼 
gingham 格子棉布 
giraffe 长颈鹿 
gird 束紧;围住 
girdle 束腰 
girl 女孩 
give 给;让 
giver 赠与者 
glacier 冰河 
glad 高兴的 
glade 沼泽 
gladness 欢乐 
glamour 魅力 
glance 一瞥 
gland 腺 
glare 强光 
glass 玻璃 
glaze 装玻璃 
gleam 一线微光 
glean 收集 
glee 欢乐 
glen 狭谷 
glide 滑翔 
glider 滑翔机 
glimmer 微光 
glimpse 一瞥 
glint 闪耀 
glisten 闪亮 
glitter 灿烂 
globe 球状物 
gloom 幽暗 
gloomy 阴□的 
glorify 加荣耀於 
glorious 光荣的 
glory 光荣 
glossy 光滑的 
glove 手套 
glow 炽热 
glue 胶 
gnat 蚋 
gnaw □咬 
go 去 
goal 目标 
goat 山羊 
gobble 大吃 
goblet 高脚杯 
goblin 小妖精 
goddess 女神 
godfather 教父 
godmother 教母 
going 离开 
gold 黄金 
golden 金色的 
goldfish 金鱼 
goldsmith 金匠 
golf 高尔夫球 
gone 过去的 
good 良好的 
goodbye 再见 
goodlooking 美貌的 
goodly 美好的 
goodnatured 和善的 
goodness 美德 
goods 货物 
goodwill 亲善 
goose 鹅 
gore 血块 
gorge 狭路 
gorgeous 华丽的 
gospel 福音 
gossip □话 
govern 治理 
government 政府 
governor 州长 
gown 长袍 
grab 抓住 
grace 优雅 
graceful 优雅的 
gracious 亲切的 
grade 年级 
gradual 逐渐的 
graduate 毕业 
graduation 毕业典礼 
graft 接枝 
grain □类 
gram 克;公分 
grammar 文法 
gramophone 留声机 
grand 雄伟的 
grandeur 高贵 
grandfather 祖父 
grandma 奶奶 
grandmother 祖母 
grandpa 爷爷 
grandson 孙子 
granite 花岗石 
granny 奶奶 
grant 准许 
grape 葡萄 
grasp 抓紧 
grass 青草 
grasshopper 蚱蜢 
grassy 如草的 
grate 炉架 
grateful 感谢的 
gratify 使□高兴 
gratitude 感谢 
grave 雕刻 
gravel 碎石 
gravely 碎石的 
gravitation 地心吸力 
gravity 万有引力 
gravy 调味肉汁 
gray 灰色 
graze 放牧 
grease 油脂 
great 巨大的 
greatness 伟大 
greedy 贪心的 
green 绿色的 
greet 致敬;迎接 
greeting 问候 
greyhound 灰猎犬 
grief 悲痛 
grievance 苦境 
grieve 伤心 
grievous 悲伤的 
grim 冷酷的 
grin 露齿而笑 
grind 磨碎 
grip 握住 
grit 粗砂 
grizzly 灰色的 
groan 呻吟 
grocer 杂货商 
grocery 杂货 
groom 马□ 
groove 槽;沟道 
grope 摸索 
gross 总数 
grotesque 古怪的 
ground 地 
group 团体 
grouse 松鸡 
grove 小树林 
grow 生长 
growl 咆哮 
growth 成长 
grub 蛆 
grudge 遗恨 
gruff 粗糙的 
grumble 诉苦 
grunt 咕噜 
guarantee 保证人 
guaranty 保证 
guard 警卫 
guardian 监护人 
guess 猜测 
guest 客人 
guidance 指导 
guide 引导 
guild 公会 
guilt 罪 
guilty 有罪的 
guitar 吉他 
gulf 湾 
gulp 牛饮 
gum 胶 
gun 枪 
gunner □手 
gunpowder 火药 
gust 阵风 
gutter 排水沟 
guy □伙 
gym 体育馆 
gymnasium 体育馆 
gymnastic 体操的 
gymnastics 体操 
gypsy 吉普赛人 
habit 习惯 
habitation 住所 
habitual 习惯的 
hack 劈 
hail 欢呼 
hair 毛;头□ 
hairy 毛茸茸的 
half 一半 
halfway 半途 
hall 大厅 
hallow 神圣 
halt 停止 
ham 火腿 
hammer □ 
hammock 吊床 
hamper 妨碍 
hand 手 
handful 满手 
handkerchief 手帕 
handle 把手 
handsome 英俊 
handy 灵巧的 
hang 悬 
happen 发生 
happening 事件 
happily 快乐地 
happiness 幸福 
happy 快乐 
harass 使困扰 
harbor 港弯 
hard 坚固;硬 
harden 使硬化 
hardly 几乎不 
hardness 硬度 
hardship 困境 
hardware 铁器 
hare 野兔 
hark 倾听 
harm 伤害 
harmful 有害的 
harmless 无害的 
harmonious 调和的 
harmony 调和 
harness 马具 
harp 竖琴 
harrow 耙 
harry 掠夺 
harsh 苛刻 
hart 牡鹿 
harvest 收成 
has 有 
hasn't 没有 
haste 匆忙 
hasten 促进 
hastily 匆忙地 
hasty 急忙的 
hat 帽子 
hatch 孵 
hatchet 斧头 
hate 厌恨 
hateful 可恨的 
hatred 憎恨 
haughty 骄傲的 
haul 拖拉 
haunt 出没 
have 有 
havoc 破坏 
hawk 鹰 
hay 乾草 
hazard 冒险 
haze 薄雾 
hazel 榛 
he 他 
head 头部 
headache 头痛 
headlight 车前灯 
headline 标题 
headlong 头向前的 
headquarters 总部 
heal □原 
health 健康 
healthful 卫生的 
healthy 健康的 
heap 堆;大量 
hear 听见 
hearer 听众 
hearing 听力 
heart 心 
hearth 炉床 
hearty 诚恳的 
heat 热力 
heater 暖气 
heath 石南树 
heathen 异教徒 
heather 石南属 
heave 举起 
heaven 天堂 
heavenly 天堂的 
heavy 沈重的 
hebrew 犹太人 
hectogram 公两 
hectoliter 公石 
